ID;Codice Cliente;Numero DDT;Data DDT ;Modello;NumeroSerie!ok
1;10026426;363/2016;14/01/2016;M5066A;A15K-09059!ok
2;10026426;363/2016;14/01/2016;M5066A;A15K-09062!ok
3;10026426;363/2016;14/01/2016;M5066A;A15K-08694!ok
4;10026426;363/2016;14/01/2016;M5066A;A15K-09027!ok
5;10026426;363/2016;14/01/2016;M5066A;A15K-08695!ok
6;10026426;363/2016;14/01/2016;M5066A;A15K-09026!ok
7;10026426;363/2016;14/01/2016;M5066A;A15K-08857!ok
8;10026426;363/2016;14/01/2016;M5066A;A15K-08898!ok
9;10026426;363/2016;14/01/2016;M5066A;A15K-09054!ok
10;10026426;363/2016;14/01/2016;M5066A;A15K-08823!ok
11;10026426;363/2016;14/01/2016;M5066A;A15K-09076!ok
12;10026426;363/2016;14/01/2016;M5066A;A15K-09081!ok
13;10026426;363/2016;14/01/2016;M5066A;A15K-09084!ok
14;10026426;363/2016;14/01/2016;M5066A;A15K-09065!ok
15;10026426;363/2016;14/01/2016;M5066A;A15K-09047!ok
16;10026426;363/2016;14/01/2016;M5066A;A15D-11782!ok
17;10026426;363/2016;14/01/2016;M5066A;A15D-11458!ok
18;10026426;363/2016;14/01/2016;M5066A;A15D-11771!ok
19;10026426;363/2016;14/01/2016;M5066A;A15D-11796!ok
20;10026426;363/2016;14/01/2016;M5066A;A15D-11781!ok
21;10026426;363/2016;14/01/2016;M5066A;A15D-11797!ok
22;10026426;363/2016;14/01/2016;M5066A;A15D-11788!ok
23;10026426;363/2016;14/01/2016;M5066A;A15D-11768!ok
24;10026426;363/2016;14/01/2016;M5066A;A15D-11916!ok
25;10026426;363/2016;14/01/2016;M5066A;A15D-11924!ok
26;10026426;363/2016;14/01/2016;M5066A;A15D-11800!ok
27;10026426;363/2016;14/01/2016;M5066A;A15D-11769!ok
28;10026426;363/2016;14/01/2016;M5066A;A15D-11776!ok
29;10026426;363/2016;14/01/2016;M5066A;A15D-11793!ok
30;10026426;363/2016;14/01/2016;M5066A;A15D-11786!ok
31;10026426;363/2016;14/01/2016;M5066A;A15E-00001!ok
32;10026426;363/2016;14/01/2016;M5066A;A15D-11774!ok
33;10026426;363/2016;14/01/2016;M5066A;A15D-11770!ok
34;10026426;363/2016;14/01/2016;M5066A;A15D-11917!ok
35;10026426;363/2016;14/01/2016;M5066A;A15D-11912!ok
36;10026426;363/2016;14/01/2016;M5066A;A15D-11773!ok
37;10026426;363/2016;14/01/2016;M5066A;A15D-11913!ok
38;10026426;363/2016;14/01/2016;M5066A;A15E-00200!ok
39;10026426;363/2016;14/01/2016;M5066A;A15D-11914!ok
40;10026426;363/2016;14/01/2016;M5066A;A15E-00198!ok
41;10026426;363/2016;14/01/2016;M5066A;A15E-00201!ok
42;10026426;363/2016;14/01/2016;M5066A;A15E-06627!ok
43;10026426;363/2016;14/01/2016;M5066A;A15E.03661!ok
44;10026426;363/2016;14/01/2016;M5066A;A13E-O6635!ok
45;10026426;363/2016;14/01/2016;M5066A;A15E-06618!ok
46;10026426;363/2016;14/01/2016;M5066A;A15E-06431!ok
47;10026426;363/2016;14/01/2016;M5066A;A15E-06399!ok
48;10026426;363/2016;14/01/2016;M5066A;A15E-06468!ok
49;10026426;363/2016;14/01/2016;M5066A;A15E-06400!ok
50;10026426;363/2016;14/01/2016;M5066A;A15E-06445!ok
51;10026426;363/2016;14/01/2016;M5066A;A15E-06624!ok
52;10026426;363/2016;14/01/2016;M5066A;A15E-06430!ok
53;10026426;363/2016;14/01/2016;M5066A;A15E-06443!ok
54;10026426;363/2016;14/01/2016;M5066A;A15E-06416!ok
55;10026426;363/2016;14/01/2016;M5066A;A15E-06630!ok
56;10026426;363/2016;14/01/2016;M5066A;A15E-06629!ok
57;10026426;363/2016;14/01/2016;M5066A;A15E-06482!ok
58;10026426;363/2016;14/01/2016;M5066A;A15E-06441!ok
59;10026426;363/2016;14/01/2016;M5066A;A15E-06435!ok
60;10026426;363/2016;14/01/2016;M5066A;A15K-08887!ok
61;10026426;363/2016;14/01/2016;M5066A;A15K-09048!ok
62;10026426;363/2016;14/01/2016;M5066A;A15K-08840!ok
63;10026426;363/2016;14/01/2016;M5066A;A15K-09078!ok
64;10026426;363/2016;14/01/2016;M5066A;A15K-08896!ok
65;10026426;363/2016;14/01/2016;M5066A;A15K-09064!ok
66;10026426;363/2016;14/01/2016;M5066A;A15K-09061!ok
67;10026426;363/2016;14/01/2016;M5066A;A15K-09034!ok
68;10026426;363/2016;14/01/2016;M5066A;A15K-09042!ok
69;10026426;363/2016;14/01/2016;M5066A;A15K-09022!ok
70;10026426;363/2016;14/01/2016;M5066A;A15K-09032!ok
71;10026426;363/2016;14/01/2016;M5066A;A15K-09083!ok
72;10026426;363/2016;14/01/2016;M5066A;A15K-09038!ok
73;10026426;363/2016;14/01/2016;M5066A;A15K-09066!ok
74;10026426;363/2016;14/01/2016;M5066A;A15K-09049!ok
75;10026426;363/2016;14/01/2016;M5066A;A15K-09067!ok
76;10026426;363/2016;14/01/2016;M5066A;A15K-09036!ok
77;10026426;363/2016;14/01/2016;M5066A;A15K-09073!ok
78;10026426;363/2016;14/01/2016;M5066A;A15K-09088!ok
79;10026426;363/2016;14/01/2016;M5066A;A15K-09019!ok
80;10026426;363/2016;14/01/2016;M5066A;A15K-09077!ok
81;10026426;363/2016;14/01/2016;M5066A;A15K-09029!ok
82;10026426;363/2016;14/01/2016;M5066A;A15K-09015!ok
83;10026426;363/2016;14/01/2016;M5066A;A15K-09044!ok
84;10026426;363/2016;14/01/2016;M5066A;A15K-08821!ok
85;10026426;363/2016;14/01/2016;M5066A;A15K-09014!ok
86;10026426;363/2016;14/01/2016;M5066A;A15K-08839!ok
87;10026426;363/2016;14/01/2016;M5066A;A15K-09053!ok
88;10026426;363/2016;14/01/2016;M5066A;A15K-09070!ok
89;10026426;363/2016;14/01/2016;M5066A;A15K-09086!ok
90;10026426;363/2016;14/01/2016;M5066A;A15K-09072!ok
91;10026426;363/2016;14/01/2016;M5066A;A15K-09085!ok
92;10026426;363/2016;14/01/2016;M5066A;A15K-09037!ok
93;10026426;363/2016;14/01/2016;M5066A;A15K-09058!ok
94;10026426;363/2016;14/01/2016;M5066A;A15K-
